iter	Logloss
0	0.5755734744
1	0.4924906367
2	0.4284985151
3	0.3843477264
4	0.3522544387
5	0.3297874986
6	0.3096683306
7	0.2960631014
8	0.286743263
9	0.2796615314
10	0.2750507349
11	0.2693116703
12	0.2654669364
13	0.2614327145
14	0.2589108786
15	0.2565787341
16	0.2545467553
17	0.2529799656
18	0.2518040191
19	0.2505807539
20	0.2499702419
21	0.2492612352
22	0.2484414452
23	0.2477436491
24	0.2471261551
25	0.2467816563
26	0.2462444925
27	0.2457451349
28	0.245378111
29	0.2449457959
30	0.2446587864
31	0.2444918133
32	0.2441767722
33	0.2440499599
34	0.2438552114
35	0.243589555
36	0.2434284317
37	0.2430442855
38	0.2428139394
39	0.2424863495
40	0.2422739938
41	0.2420558348
42	0.2418919625
43	0.2417884329
44	0.241771561
45	0.2416305256
46	0.2413847757
47	0.2412208179
48	0.241088372
49	0.2408610588
50	0.2407497308
51	0.2406110681
52	0.2405225668
53	0.2403162121
54	0.2402486972
55	0.2401058888
56	0.2399798193
57	0.2396605777
58	0.2395354156
59	0.2395144536
60	0.2393901093
61	0.2393614554
62	0.2392569895
63	0.2391933817
64	0.2390759858
65	0.2389103859
66	0.2389036865
67	0.2387711533
68	0.2386070539
69	0.2385833282
70	0.2385359151
71	0.2384828999
72	0.2382909931
73	0.2382126349
74	0.2381276428
75	0.238044528
76	0.2378933001
77	0.2376836188
78	0.2376424534
79	0.2374845694
80	0.237341207
81	0.2372706351
82	0.2371418177
83	0.2371022318
84	0.2369236122
85	0.2368786785
86	0.2368625877
87	0.2367115795
88	0.2365573946
89	0.2364790714
90	0.2364075795
91	0.2364029922
92	0.2363884605
93	0.2362968766
94	0.2361981784
95	0.2361476591
96	0.2360938226
97	0.2360299751
98	0.2359560939
99	0.2359414626
100	0.2358582896
101	0.2357108305
102	0.2356511198
103	0.235474454
104	0.2354028318
105	0.2351148875
106	0.2348412389
107	0.2346393692
108	0.2345625584
109	0.2345115555
110	0.2343063566
111	0.2341398709
112	0.2340531837
113	0.2339600452
114	0.2339092289
115	0.2339064591
116	0.2336480096
117	0.2333031758
118	0.233240348
119	0.2332381866
120	0.2330127935
121	0.2329506901
122	0.2327954347
123	0.232662115
124	0.2325979914
125	0.2325965979
126	0.2324210179
127	0.2324176689
128	0.232275498
129	0.2322441141
130	0.2322424004
131	0.2321377478
132	0.2320170468
133	0.2319123175
134	0.2318288958
135	0.2317060256
136	0.2316601686
137	0.2316501683
138	0.2315135132
139	0.2314310757
140	0.2312868635
141	0.2311463892
142	0.2310391307
143	0.2309318023
144	0.2309287809
145	0.2307811371
146	0.2306477514
147	0.2306459593
148	0.2306455859
149	0.2306418462
150	0.2305743187
151	0.2305650075
152	0.2305189043
153	0.2303314837
154	0.2301026333
155	0.2300782372
156	0.2299234701
157	0.2298388477
158	0.2297920275
159	0.2295933947
160	0.229530917
161	0.2295306526
162	0.2295040484
163	0.2293825278
164	0.2293248553
165	0.2292506076
166	0.2292022628
167	0.2290544016
168	0.2290220277
169	0.2289009808
170	0.2288321365
171	0.2287350304
172	0.2286886546
173	0.2286874183
174	0.228667864
175	0.2285716055
176	0.2284549102
177	0.2284217009
178	0.2283090276
179	0.2282835729
180	0.2281172965
181	0.2280640031
182	0.2279983647
183	0.2279401563
184	0.2278378213
185	0.2278137404
186	0.2276665122
187	0.2276104292
188	0.2275538492
189	0.2275371827
190	0.2275021066
191	0.2274573978
192	0.2273863692
193	0.227303338
194	0.2272894009
195	0.2272714716
196	0.2272702146
197	0.2272015719
198	0.2271991586
199	0.227196485
200	0.2270618041
201	0.2269559974
202	0.2268174466
203	0.2268149233
204	0.2265875209
205	0.2265831113
206	0.2265188417
207	0.2265147459
208	0.2265057558
209	0.2262361097
210	0.2262169907
211	0.226211284
212	0.226138908
213	0.2260503004
214	0.2260066469
215	0.2259959497
216	0.2259881933
217	0.2259875344
218	0.2258039872
219	0.2257257595
220	0.2257234726
221	0.2256800588
222	0.225554999
223	0.2255137813
224	0.2252978888
225	0.2252616918
226	0.2252453351
227	0.2250135952
228	0.2248953387
229	0.2248949255
230	0.2248770292
231	0.2247822649
232	0.2247090835
233	0.2246576553
234	0.2246558564
235	0.2244336119
236	0.2243692174
