iter	Passed	Remaining
0	67	27009
1	119	23747
2	171	22671
3	222	21978
4	272	21490
5	323	21250
6	375	21060
7	425	20845
8	474	20635
9	525	20501
10	577	20405
11	625	20222
12	675	20114
13	725	20014
14	777	19945
15	828	19873
16	878	19784
17	927	19692
18	979	19637
19	1031	19592
20	1082	19528
21	1131	19435
22	1182	19376
23	1232	19311
24	1282	19242
25	1331	19149
26	1380	19074
27	1433	19041
28	1483	18978
29	1534	18920
30	1584	18865
31	1635	18807
32	1686	18753
33	1736	18691
34	1786	18633
35	1836	18570
36	1886	18510
37	1936	18451
38	1987	18394
39	2039	18351
40	2089	18291
41	2139	18234
42	2188	18166
43	2237	18106
44	2287	18045
45	2337	17991
46	2387	17928
47	2437	17875
48	2490	17838
49	2541	17787
50	2591	17737
51	2643	17692
52	2693	17634
53	2743	17575
54	2793	17520
55	2843	17468
56	2892	17406
57	2942	17352
58	2992	17296
59	3042	17241
60	3093	17192
61	3144	17140
62	3194	17088
63	3245	17038
64	3296	16988
65	3347	16938
66	3396	16880
67	3446	16826
68	3496	16770
69	3546	16718
70	3596	16664
71	3648	16619
72	3698	16565
73	3747	16509
74	3797	16454
75	3846	16400
76	3896	16345
77	3947	16295
78	3997	16243
79	4047	16189
80	4098	16139
81	4148	16086
82	4198	16036
83	4248	15980
84	4298	15928
85	4347	15874
86	4398	15824
87	4450	15779
88	4501	15731
89	4551	15677
90	4603	15631
91	4653	15578
92	4703	15525
93	4753	15473
94	4804	15426
95	4855	15375
96	4907	15329
97	4961	15288
98	5011	15237
99	5062	15186
100	5111	15132
101	5162	15081
102	5212	15030
103	5262	14978
104	5312	14925
105	5363	14875
106	5413	14825
107	5466	14781
108	5517	14729
109	5570	14684
110	5620	14633
111	5672	14585
112	5730	14553
113	5781	14503
114	5832	14454
115	5882	14401
116	5932	14350
117	5983	14298
118	6032	14245
119	6064	14150
120	6114	14099
121	6165	14049
122	6215	13996
123	6265	13946
124	6316	13897
125	6366	13843
126	6416	13793
127	6463	13734
128	6513	13684
129	6563	13632
130	6594	13542
131	6646	13493
132	6699	13448
133	6751	13401
134	6800	13349
135	6851	13299
136	6900	13247
137	6952	13199
138	7001	13147
139	7052	13096
140	7101	13045
141	7152	12995
142	7203	12945
143	7253	12895
144	7291	12822
145	7341	12771
146	7390	12720
147	7418	12631
148	7444	12540
149	7483	12473
150	7534	12424
151	7585	12376
152	7635	12326
153	7685	12276
154	7735	12227
155	7785	12177
156	7837	12130
157	7888	12082
158	7939	12034
159	7990	11985
160	8041	11938
161	8069	11855
162	8119	11805
163	8170	11757
164	8221	11709
165	8271	11660
166	8321	11609
167	8371	11560
168	8421	11510
169	8471	11460
170	8522	11412
171	8573	11365
172	8624	11316
173	8656	11244
174	8694	11179
175	8747	11133
176	8798	11084
177	8848	11036
178	8898	10985
179	8947	10936
180	8999	10888
181	9050	10840
182	9101	10792
183	9152	10744
184	9205	10697
185	9254	10647
186	9305	10599
187	9355	10550
188	9404	10499
189	9455	10450
190	9505	10401
191	9555	10352
192	9607	10304
193	9656	10253
194	9709	10207
195	9758	10156
196	9785	10083
197	9834	10033
198	9867	9966
199	9893	9893
200	9944	9845
201	9997	9799
202	10047	9750
203	10079	9684
204	10131	9637
205	10177	9584
206	10227	9535
207	10264	9475
208	10296	9409
209	10346	9360
210	10382	9300
211	10421	9241
212	10471	9193
213	10522	9145
214	10574	9099
215	10624	9050
216	10688	9013
217	10715	8945
218	10767	8898
219	10819	8852
220	10868	8803
221	10920	8756
222	10971	8708
223	11021	8660
224	11073	8612
225	11122	8563
226	11172	8514
227	11222	8466
228	11273	8418
229	11306	8356
230	11355	8307
231	11405	8259
232	11456	8211
233	11507	8163
234	11556	8114
235	11606	8065
236	11655	8015
237	11705	7967
238	11732	7903
239	11784	7856
240	11835	7808
241	11886	7760
242	11936	7712
243	11968	7652
244	12018	7603
245	12068	7555
246	12100	7495
247	12151	7447
248	12202	7399
249	12252	7351
250	12303	7303
251	12353	7254
252	12403	7206
253	12452	7157
254	12501	7108
255	12552	7061
256	12584	7002
257	12641	6957
258	12698	6913
259	12747	6864
260	12798	6816
261	12848	6767
262	12898	6718
263	12931	6661
264	12958	6601
265	13009	6553
266	13060	6505
267	13110	6457
268	13161	6409
269	13210	6360
270	13265	6314
271	13314	6265
272	13364	6217
273	13414	6168
274	13465	6120
275	13516	6072
276	13565	6023
277	13614	5974
278	13664	5926
279	13691	5867
280	13741	5819
281	13790	5770
282	13839	5721
283	13888	5672
284	13938	5624
285	13989	5576
286	14038	5527
287	14087	5478
288	14137	5429
289	14187	5381
290	14236	5332
291	14285	5283
292	14323	5230
293	14375	5182
294	14425	5134
295	14474	5085
296	14524	5037
297	14574	4988
298	14624	4940
299	14674	4891
300	14727	4844
301	14778	4795
302	14828	4746
303	14879	4698
304	14929	4650
305	14982	4602
306	15033	4553
307	15084	4505
308	15135	4457
309	15162	4401
310	15212	4353
311	15263	4304
312	15312	4256
313	15361	4207
314	15412	4158
315	15439	4104
316	15489	4055
317	15539	4006
318	15576	3955
319	15629	3907
320	15678	3858
321	15729	3810
322	15781	3762
323	15813	3709
324	15862	3660
325	15914	3612
326	15964	3564
327	16014	3515
328	16064	3466
329	16113	3417
330	16164	3369
331	16215	3321
332	16265	3272
333	16293	3219
334	16340	3170
335	16390	3122
336	16440	3073
337	16491	3025
338	16541	2976
339	16593	2928
340	16644	2879
341	16694	2831
342	16744	2782
343	16795	2734
344	16845	2685
345	16874	2633
346	16924	2585
347	16977	2536
348	17027	2488
349	17078	2439
350	17128	2391
351	17178	2342
352	17233	2294
353	17285	2246
354	17334	2197
355	17384	2148
356	17433	2099
357	17483	2051
358	17533	2002
359	17584	1953
360	17635	1905
361	17685	1856
362	17735	1807
363	17762	1756
364	17813	1708
365	17862	1659
366	17911	1610
367	17961	1561
368	18010	1513
369	18056	1464
370	18107	1415
371	18156	1366
372	18205	1317
373	18255	1269
374	18306	1220
375	18356	1171
376	18406	1122
377	18457	1074
378	18509	1025
379	18556	976
380	18605	927
381	18654	879
382	18704	830
383	18736	780
384	18786	731
385	18833	683
386	18884	634
387	18934	585
388	18985	536
389	19034	488
390	19083	439
391	19132	390
392	19182	341
393	19230	292
394	19280	244
395	19328	195
396	19379	146
397	19418	97
398	19456	48
399	19507	0
